Machine summarization,,,Gold standards
Baseline,Fragmented MMR,Graph Summarization,Summary 1
"Tonight will see the first meeting between Manchester United and Arsenal that hasn't involved Sir Alex Ferguson or Arsene Wenger since 1986. This will be the first time since 1986 that Manchester United and Arsenal have faced each other without Sir Alex Ferguson or Arsene Wenger https://t.co/ZoVjK8VHIX Tonight s match is the first match between Manchester United and Arsenal that neither Sir Alex Ferguson or Arsene Wenger has been a manager in, since 23 August 1986 82 matches #MUFC This will be the first meeting between Arsenal and Manchester United where neither Arsene Wenger or Sir Alex Ferguson has been in charge, since 1986.","Tonight’s match is the first match between and Arsenal that neither Sir Alex Ferguson or Arsene Wenger has been a manager in, since 23 August 1986 (82 matches).","Tonight’s match is the first match between and Arsenal that neither Sir Alex Ferguson or Arsene Wenger has been a manager in, since 23 August 1986 (82 matches).",
"English Premier League LIVE Manchester United vs Arsenal Tottenham Hotspur vs Southampton Watch Link &gt; https://t.co/9OFYDaLWkp RT @ArsenalFC_fl: Full Arsenal team news from Old Trafford https://t.co/F5dcqA10Tv RT @utdxtra: Manchester United XI vs Arsenal: De Gea, Dalot, Bailly, Rojo, Smalling, Darmian, Herrera, Matic, Lingard, Martial, Rashford. RT @InfosFuteboI: #11ManUnited: De Gea; Darmian, Bailly, Smalling, Rojo; Dalot, Matic, Ander Herrera; Lingard, Martial e Rashford. Arsenal fans : you're gonna win United fans : no, you're gonna win Arsenal fans : no, you're gonna win United fans : no, you gonna win  RT @afcstuff: Aaron Ramsey will captain the Arsenal team against Manchester United this evening.","⚽️English Premier League⚽️ [LIVE] Manchester United vs Arsenal Tottenham Hotspur vs Southampton 🖥️Watch Link==… Watch live now : Burnley - Liverpool - England. Premier League - Free Football link live stream, Link AceStream, Link sopcast. Manchester United XI vs Arsenal: De Gea, Dalot, Bailly, Rojo, Smalling, Darmian, Herrera, Matic, Lingard, Martial, Rashford. #…",⚽️English Premier League⚽️ [LIVE] Manchester United vs Arsenal Tottenham Hotspur vs Southampton 🖥️Watch Link==…,
"We are underway at Old Trafford @bbcjohnmurray and @RobbieSavage8 Follow with the Final Score graphics - https://t.co/jLS3W69d6b Manchester United vs Arsenal Wed 5th Dec 2018, 20:00 Old Trafford Premier League The match gets underway. RT @Soccer_Laduma: 1' MU 0-0 ARS: Arsenal get the first half underway at Old Trafford. Tonight s #PL action is underway Burnley 0-0 Liverpool Everton 0-1 Newcastle Fulham 0-0 Leicester Wolves 0-1 Chels https://t.co/Q04L0ltoSn Here we go, we're underway at Old Trafford - come on, Arsenal #MUNARS 0-0 1 https://t.co/qUFzDMxcfw #Arsenal","We're underway in the first game since 1986 that doesn't involve Sir Alex Ferguson or Arsene Wenger... Bet… Here we go, we're underway at Old Trafford - come on, @Arsenal 💪 0-0 (1). Man United vs Arsenal is underway! Follow all the action here!",We're underway in the first game since 1986 that doesn't involve Sir Alex Ferguson or Arsene Wenger... Bet… Only good thing about going old trafford is em playing stone roses🐊🍋😴🤪.,We have kickoff! Arsenal do the honours.
"Manchester United starting XI: Martial  Manchester United starting 1st 11 De gea Pogba Martial Guess who's the elephant  RT @AFTVMedia: 1: COME ON, ARSENAL! 0-0 https://t.co/YZkR0sYq9X Kick off! 0-0 #MUNARS  Really don't like this blue kit Arsenal are wearing. That's an away kit arsenal. You're not city https://t.co/TlrNRXfyoT What do you mean Peter Drury is not in the Arsenal vs Man Utd game? where is Peter Drury on this one.. just asking #MUNARS Jim Beglin and Peter Drury #MUNARS Arsenal kit tonight is sensational Arsenal s kit doesn t sit right in this fixture",Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣. Manchester United starting XI: 🕷 🐂 🐂 🐂 🐂 💇‍♂️ 🐂 🐂 Martial 🐘 🐂. Manchester United starting XI: 🕷 🐂 🐂 🐂 🐂 💇‍♂️ 🐂 🐂 Martial 🐘 🐂.,Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣. Looks like a United v City local derby. Really don't like this blue kit Arsenal are wearing. @dboxshowafrica Manchester United 0-0 Arsenal. What do you mean Peter Drury is not in the Arsenal vs Man Utd game?,
RT @TotallyMUFC: C mon United!!!!! #Mufc https://t.co/u67VyA3tZr RT @vlindelof: Good luck tonight boys #MUFC https://t.co/Wi6i9QEuYd RT @Arsenal: Old Trafford Let's get back to work https://t.co/j0tHhSOh19 RT @mcebomkhize_: Don't start. https://t.co/WbKc65wkC5 C'mon Arsenal !!! Let's do this Game on. C mon boys @ManUtd #MUNARS Manchester United starting 1st 11 tonight against Arsenal De gea Pogba Martial #ManUtd #MANARS #Manchester C MON ARSENAL LETS KEEP THIS RUN GOING COYG  @wtravers_jr @Arsenal @UnaiEmery_ Very true...the beginning of a new era. RT @D9INE_LEGACY: Manchester United vs Arsenal Martial GOAL 30' https://t.co/6u1mtuaOSK And here it begins #MUNARS Come on United @ManUtd,"Anyway, that was Manchester United starting 1st 11 against @Arsenal, see you next time😅😅 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂. Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣🤣🤣🤣. Manchester United starting 1st 11 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂 🤣🤣🤣🤣🤣🤣🤣🤣.","Anyway, that was Manchester United starting 1st 11 against @Arsenal, see you next time😅😅 De gea 🐂 🐂 🐂 🐂 🐂 🐂 Pogba Martial 🐘 🐂.",
"Fantastic start for @ManUtd #MUNARS #GGMU RT @gnris12: this pass from xhaka I will miss you today captain https://t.co/Dtxtqp5hEJ Already missing Xhaka RT @Arsenal: Old Trafford Let's get back to work https://t.co/j0tHhSOh19 #MUNARS # _ Good luck man utd  RT @SoundslikeKway: This game is too big for Guendouzi, I miss Xhaka already, should ve played Niles RT @RilwanLucas: Xhaka already missed very apparently already how much we miss Xhaka RT @vlindelof: Good luck tonight boys #MUFC https://t.co/Wi6i9QEuYd Good start boys. We can do this #MUFC #MUNARS THIS IS THE UNITED I KNOW AND LOVE #mufc #MUNARS","This game is too big for Guendouzi, I miss Xhaka already, should’ve played Niles. Xhaka already missed. Good luck tonight boys 🙌🏼.","This game is too big for Guendouzi, I miss Xhaka already, should’ve played Niles. Good luck tonight boys 🙌🏼. 📍 Old Trafford Let's get back to work 👊.",
Manchester United starting 1st 11 De gea Pogba Martial Guess who's the elephant  RT @AO24_Official: Started really slow... #MUNARS Arsenal been starting slow a decade now  #Arsenal started very slow first 10 minutes Arsenal starting slow making shit Utd look good  RT @FutbalStreaming: Manchester vs arsenal Link 2 #Periscope Pls RETWEET AND FOLLOW #MUNARS https://t.co/dojiZRxhRM Manchester United starting XI: Martial  Pls Arsenal  RT @FutbalStreaming: Manchester United vs Arsenal Live now!! Pls retweet and follow #MUNARS https://t.co/fVeyB8NHNl,Manchester United vs Arsenal Live now!! Pls retweet and follow @tenderXralph. Manchester United vs Arsenal Live now!! Pls retweet and follow. Manchester United vs Arsenal Live now!! Pls retweet and follow.,Manchester United vs Arsenal Live now!! Pls retweet and follow @tenderXralph. Manchester United vs Arsenal Live now!! Pls retweet and follow.,
See why Xhaka is important..Guendouzi is just being bullied I miss Xhaka. Lol Hate to say it but we're missing Xhaka's cm presence We're missing Xhaka's presence already Should ve started pogba/lukaku for Ariel presence man Xhaka presence is greatly missed,Should’ve started pogba/lukaku for Ariel presence man. We're missing Xhaka's presence already. See why Xhaka is important..Guendouzi is just being bullied.,I miss Xhaka. Guendouzi is being bullied here. Lol. Should’ve started pogba/lukaku for Ariel presence man.,
"Serving up the goods in recent weeks.  https://t.co/FoSVbCNeLQ Christian Eriksen has now provided four assists in his last three Premier League games. https://t.co/cZEzSxej7x RT @EPLStatman: Christian Eriksen has 4 assists in his last 3 PL games vs Chelsea vs Arsenal vs Southampton #THFC https://t.  Hey @MatteoGuendouzi , you better wake up; currently, you re not any different from the referee. RT @HausofDupre: United hear Arsenal and they wake up Harry Kane gives Tottenham Hotspur the lead with his 8th Premier League goal of the season. Christian Eriksen now also has three consecutive assists in a row for Spurs.",Christian Eriksen has 4 assists in his last 3 PL games 🅰️🅰️ vs Chelsea 🅰️ vs Arsenal 🅰️ vs Southampton https://t.… Harry Kane gives Tottenham Hotspur the lead with his 8th Premier League goal of the season. Christian Eriksen now… Wake up my brother.,"Christian Eriksen has 4 assists in his last 3 PL games 🅰️🅰️ vs Chelsea 🅰️ vs Arsenal 🅰️ vs Southampton https://t.… Hey @MatteoGuendouzi , you better wake up; currently, you’re not any different from the referee. Wake up.",
